,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
105,14,7840,7880,11921.32,11950.01,401.66000000000713,0.002406612690541099,7840,7880,40
106,15,7968,8036,11584.77,11675.08,1354.6499999999924,0.007795579886350712,7968,8036,68
107,15,8112,8152,11382.52,11466.27,1256.25,0.007357773146895452,8112,8152,40
108,15,8155,8185,11629.46,11586.31,-647.2499999999945,-0.003710404438383219,8155,8185,30
109,14,8217,8253,12008.0,11290.01,-10051.859999999997,-0.059792638241172535,8217,8253,36
110,15,8282,8310,10516.65,10307.99,-3129.899999999998,-0.019840918923801798,8282,8310,28
111,16,8343,8379,10212.2,10049.38,-2605.1200000000244,-0.015943675212001462,8343,8379,36
112,15,8412,8424,10277.91,10274.19,-55.79999999999018,-0.00036194128962008243,8412,8424,12
113,15,8430,8444,10435.57,10222.35,-3198.29999999999,-0.020432041565530135,8430,8444,14
114,14,8493,8501,10537.35,10290.28,-3458.979999999996,-0.02344707160718773,8493,8501,8
115,14,8521,8546,10357.26,10689.37,4649.540000000008,0.03206543043237309,8521,8546,25
116,14,8558,8659,10852.34,10912.24,838.5999999999949,0.005519546936421094,8558,8659,101
117,15,8761,8832,10311.44,10667.26,5337.299999999996,0.03450730450839057,8761,8832,71
118,15,8841,8873,10716.2,10707.66,-128.1000000000131,-0.0007969242828614886,8841,8873,32
119,15,8880,8889,10722.01,10689.45,-488.39999999999236,-0.003036744043327655,8880,8889,9
120,15,8897,8937,10807.26,10519.76,-4312.5,-0.026602487587047974,8897,8937,40
121,15,8986,9049,10575.68,10735.31,2394.449999999988,0.015094064873369728,8986,9049,63
122,14,9113,9161,10873.3,11302.99,6015.660000000007,0.03951790164899349,9113,9161,48
123,14,9172,9192,11376.0,11376.24,3.359999999996944,2.10970464133986e-05,9172,9192,20
124,14,9207,9223,11661.17,11391.19,-3779.719999999994,-0.023152050780496314,9207,9223,16
125,14,9254,9266,11368.0,11313.27,-766.2199999999939,-0.004814391273750829,9254,9266,12
126,14,9275,9286,11463.01,11342.27,-1690.359999999997,-0.010533010090717831,9275,9286,11
127,14,9329,9466,11368.01,12788.34,19884.62,0.12494095272611472,9329,9466,137
128,13,9488,9529,13103.87,13048.04,-725.789999999999,-0.004260573403124468,9488,9529,41
129,13,9557,9581,13383.45,13286.01,-1266.7200000000066,-0.007280633917263524,9557,9581,24
130,13,9633,9688,13512.75,13752.87,3121.5600000000104,0.017769883998445923,9633,9688,55
131,13,9727,9824,13775.36,15352.25,20499.569999999992,0.11447178149972115,9727,9824,97
132,13,9835,9959,15018.55,16311.78,16811.99000000002,0.0861088453945289,9835,9959,124
133,12,10061,10178,17078.67,18405.8,15925.560000000012,0.07770687061697434,10061,10178,117
134,12,10227,10269,18927.21,17781.36,-13750.199999999983,-0.060539825996541397,10227,10269,42
135,12,10346,10398,18107.0,18765.09,7897.080000000002,0.036344507648975455,10346,10398,52
136,11,10449,10468,19374.75,18838.0,-5904.25,-0.027703583272042254,10449,10468,19
137,11,10527,10548,19133.3,18968.01,-1818.1900000000096,-0.008638865224503967,10527,10548,21
138,11,10668,10842,18795.99,23507.92,51831.22999999997,0.2506880456948528,10668,10842,174
139,11,10857,10874,23666.5,23477.81,-2075.5899999999856,-0.007972873048401663,10857,10874,17
140,11,10901,10925,23188.76,23869.15,7484.290000000034,0.02934137056056474,10901,10925,24
141,11,10971,11030,24005.79,26421.11,26568.519999999997,0.10061406019131214,10971,11030,59
142,10,11096,11209,28180.36,32131.93,39515.7,0.14022425547438,11096,11209,113
143,10,11240,11316,32130.05,40426.44,82963.90000000002,0.25821279456459,11240,11316,76
144,12,11425,11541,34550.01,35174.57,7494.719999999972,0.018076984637630966,11425,11541,116
145,13,11647,11701,32524.84,31682.11,-10955.489999999994,-0.02591035036605871,11647,11701,54
146,12,11718,11733,34564.99,31991.08,-30886.919999999955,-0.07446581063671642,11718,11733,15
147,12,11752,11960,32474.81,36605.43,49567.43999999999,0.12719458558802965,11752,11960,208
148,10,12009,12017,40693.2,39622.79,-10704.099999999962,-0.026304394837466605,12009,12017,8
149,10,12054,12089,43077.59,46608.44,35308.50000000006,0.08196489172212296,12054,12089,35
150,9,12186,12212,47569.21,47166.96,-3620.25,-0.008456100069772043,12186,12212,26
151,9,12237,12352,49447.52,55908.45,58148.37,0.13066236688917865,12237,12352,115
152,10,12561,12586,49068.19,47877.88,-11903.10000000005,-0.024258282198711734,12561,12586,25
153,10,12593,12635,48517.29,47617.22,-9000.699999999997,-0.01855153080479144,12593,12635,42
154,9,12697,12823,50429.99,56275.89,52613.10000000001,0.11592110170951853,12697,12823,126
155,9,12844,12881,59914.58,59534.78,-3418.200000000026,-0.006339024658104986,12844,12881,37
156,9,12901,12906,56419.99,54496.91,-17307.71999999995,-0.034085082255420396,12901,12906,5
157,9,12948,12998,57897.1,58703.94,7261.560000000034,0.013935758440405621,12948,12998,50
158,9,13105,13223,56293.48,55414.74,-7908.660000000047,-0.015609978278123937,13105,13223,118
159,9,13226,13300,57962.05,58640.68,6107.669999999976,0.011708178023378979,13226,13300,74
160,9,13316,13327,59980.0,59437.82,-4879.620000000003,-0.009039346448816321,13316,13327,11
161,9,13338,13353,59360.62,58892.04,-4217.220000000016,-0.007893785475960313,13338,13353,15
162,8,13400,13424,59098.0,57876.55,-9771.599999999977,-0.020668212122237573,13400,13424,24
163,8,13492,13504,58590.1,58176.04,-3312.4799999999814,-0.007067064230987796,13492,13504,12
164,8,13510,13518,60976.29,60559.28,-3336.0800000000163,-0.006838887705368779,13510,13518,8
165,8,13586,13654,63050.42,61902.25,-9185.359999999986,-0.018210346576596925,13586,13654,68
166,9,13920,13966,54524.37,53894.88,-5665.410000000047,-0.011545112763338805,13920,13966,46
167,9,13983,14037,53404.22,56957.09,31975.829999999958,0.06652788862003778,13983,14037,54
